date,open,high,low,close,volume,dividends,splits,symbol,Sector,Industry,return,ma5,ma20,ma50,volatility,volume_ma20,day_of_week,month,year,next_day_close,price_up
2020-05-13 00:00:00-04:00,103.22479901674805,103.26431180589442,100.36018586213453,101.66407775878906,21085800,0.0,0.0,DIS,Communication Services,Entertainment,-0.015684776581221693,104.70254516601562,103.12107963562012,100.71697830200195,0.03009329539377331,20030760.0,2,5,2020,104.61759948730469,1
2020-05-14 00:00:00-04:00,100.7355563969884,104.62747203264584,98.44386731671861,104.61759948730469,22002200,0.0,0.0,DIS,Communication Services,Entertainment,0.029051773188984553,104.76971588134765,103.31320686340332,100.45481719970704,0.030585407142080866,20229405.0,3,5,2020,107.71927642822266,1
2020-05-15 00:00:00-04:00,103.69894254541234,108.04524374260659,102.9975999746959,107.71927642822266,29766000,0.0,0.0,DIS,Communication Services,Entertainment,0.029647754833969087,104.74798278808593,103.43273048400879,100.3574203491211,0.029621089281585012,20821360.0,4,5,2020,115.42408752441406,1
2020-05-18 00:00:00-04:00,113.07313318232033,118.31833327612512,113.07313318232033,115.42408752441406,40044600,0.0,0.0,DIS,Communication Services,Entertainment,0.07152676244836642,106.5418212890625,104.15332794189453,100.38863464355468,0.03172981152505575,21972540.0,0,5,2020,112.97435760498047,0
2020-05-19 00:00:00-04:00,113.69544527126166,115.04873001809436,112.03594583351178,112.97435760498047,20332600,0.0,0.0,DIS,Communication Services,Entertainment,-0.02122373216869,108.4798797607422,104.83638992309571,100.58658920288086,0.031919696848657704,22184100.0,1,5,2020,118.45662689208984,1
2020-05-20 00:00:00-04:00,114.99933702840738,119.39503866257995,114.62397684198763,118.45662689208984,25749900,0.0,0.0,DIS,Communication Services,Entertainment,0.04852666926665217,111.83838958740235,105.77133979797364,100.75372436523438,0.03323343694675623,22898405.0,2,5,2020,116.39214324951172,0
2020-05-21 00:00:00-04:00,117.8837115616095,118.83200348407871,115.07837119454574,116.39214324951172,17578300,0.0,0.0,DIS,Communication Services,Entertainment,-0.017428181915552954,114.19329833984375,106.60257148742676,100.99711776733399,0.033712131949707014,22920710.0,3,5,2020,116.5798110961914,1
2020-05-22 00:00:00-04:00,116.06615991720794,117.12310251883204,115.40433766511396,116.5798110961914,9288200,0.0,0.0,DIS,Communication Services,Entertainment,0.0016123755559460662,115.9654052734375,107.43380279541016,101.51492095947266,0.03371486473430094,22704415.0,4,5,2020,119.47405242919922,1
2020-05-26 00:00:00-04:00,119.5728381650912,121.0150209808503,118.96040126951122,119.47405242919922,16466400,0.0,0.0,DIS,Communication Services,Entertainment,0.024826265421031835,116.77539825439453,108.16921768188476,101.87902282714843,0.032650252673141776,22751820.0,1,5,2020,120.04698181152344,1
2020-05-27 00:00:00-04:00,122.17074710951093,122.26952531344884,118.24919136919554,120.04698181152344,19345400,0.0,0.0,DIS,Communication Services,Entertainment,0.004795429389689021,118.18992309570312,108.92587013244629,102.40295028686523,0.032628073522992476,22893905.0,2,5,2020,115.32530975341797,0
2020-05-28 00:00:00-04:00,120.11612411171878,120.49149182750604,114.58446193915618,115.32530975341797,18606000,0.0,0.0,DIS,Communication Services,Entertainment,-0.039331868130750736,117.56365966796875,109.14812431335449,102.86168319702148,0.032014654509775524,22817215.0,3,5,2020,115.86859893798828,1
2020-05-29 00:00:00-04:00,114.77214359105196,116.31310460348418,112.72740396444244,115.86859893798828,17745100,0.0,0.0,DIS,Communication Services,Entertainment,0.004710927598910786,117.45895080566406,109.60004119873047,103.42472747802735,0.0306723149189167,22772535.0,4,5,2020,117.3206558227539,1
2020-06-01 00:00:00-04:00,115.82908765875759,118.18992207599005,115.50311281379403,117.3206558227539,10538300,0.0,0.0,DIS,Communication Services,Entertainment,0.012531927528896425,117.60711975097657,110.2554443359375,103.89570907592774,0.029937737786465645,22638995.0,0,6,2020,117.30091094970703,0
2020-06-02 00:00:00-04:00,117.54786023591694,118.38748630177182,116.39213938516517,117.30091094970703,10753100,0.0,0.0,DIS,Communication Services,Entertainment,-0.00016829835213938438,117.17249145507813,111.02444419860839,104.54311141967773,0.029239583426888163,22200910.0,1,6,2020,120.68904876708984,1
2020-06-03 00:00:00-04:00,118.52577072820668,120.95575066544147,117.86394848656542,120.68904876708984,12584300,0.0,0.0,DIS,Communication Services,Entertainment,0.028884156056004473,117.3009048461914,112.06755790710449,105.26262283325195,0.028834680671266582,21321635.0,2,6,2020,122.18062591552734,1
2020-06-04 00:00:00-04:00,120.46185353251319,122.98073915625523,120.36307532960629,122.18062591552734,14195100,0.0,0.0,DIS,Communication Services,Entertainment,0.012358844184081619,118.67196807861328,113.194140625,105.76778228759765,0.02870564612911027,19431770.0,3,6,2020,123.29683685302734,1
2020-06-05 00:00:00-04:00,124.76865245925804,126.26022822831526,122.76342550112025,123.29683685302734,16581600,0.0,0.0,DIS,Communication Services,Entertainment,0.009135744142215518,120.1576156616211,114.14489517211913,106.24370300292969,0.02743679251098068,19217410.0,4,6,2020,125.72681427001953,1
